name	unit	price
Nueces Mariposa	1kg	$ 22.000,00
Nueces Partidas	1kg	$ 20.000
Nueces Ambar	1kg	$ 0
Almendras Enteras	1kg	$ 22.000
Almendras Partidas	1kg	$ 20.000
Pasas Uva Negra	1kg	$ 7.000
Pasas Uva Rubia	1kg	$ 10.000
Pasas Uva Jumbo	1kg	$ 10.000
Avellanas	1kg	$ 35.000
Castañas Caju	1kg	$ 33.000
Mani Salado	1kg	$ 7.500
Mani Sin Sal	1kg	$ 7.500
Mani Fileteado	1kg	$ 15.000
Mani con Cascara	1kg	$ 8.000
Mani Crudo	1kg	$ 6.500
Mix Frutos	1kg	$ 20.000
Mix Frutos Tropical	1kg	$ 20.000
Mix Frutos Sin Pasas	1kg	$ 27.000
Pistachos	1kg	$ 100.000
Pistachos con Cascara	1kg	$ 60.000
Nueces con Cascara	1kg	$ 7.500
Aji comun	1kg	$ 15.000
Ajinomoto	1kg	$ 30.000
Aji Cayena	1kg	$ 23.000
Ajo Deshidratado	1kg	$ 20.000
Ajo en Polvo	1kg	$ 20.000
Albahaca	1kg	$ 16.000
Anis Grano	1kg	$ 25.000
Anis Estrellado	1kg	$ 100.000
Bouquet Pimienta	1kg	$ 65.000
Cardamomo	1kg	$ 150.000
Cebolla Deshidratada	1kg	$ 20.000
Cebolla Polvo	1kg	$ 20.000
Chimichurri	1kg	$ 18.000
Clavo Olor Grano	1kg	$ 100.000
Clavo Olor Molido	1kg	$ 100.000
Comino	1kg	$ 20.000
Comino Grano	1kg	$ 55.000
Cond. Arroz	1kg	$ 18.000
Cond. Pizza	1kg	$ 18.000
Coriandro Grano	1kg	$ 18.000
Coriandro Molido	1kg	$ 18.000
Curcuma	1kg	$ 18.000
Curry	1kg	$ 25.000
Estragon	1kg	$ 18.000
Enebro	1kg	$ 20.000
Eneldo	1kg	$ 18.000
Fenobreco	1kg	$ 15.000
Hinojo	1kg	$ 16.000
Hongos Pino	1kg	$ 50.000
Hongos Shitake	1kg	
Humo Polvo	1kg	$ 20.000
Jenjibre Raiz	1kg	$ 22.000
Jenjibre Molido	1kg	$ 20.000
Kummel	1kg	$ 19.000
Laurel	1kg	$ 30.000
Merken	1kg	$ 25.000
Mostaza Grano	1kg	$ 25.000
Mostaza Grano Negra	1kg	$ 25.000
Mostaza Molida	1kg	$ 20.000
Nuez Moscada Molida	1kg	$ 50.000
Integral Chorizo	1kg	$ 8.000
Integral Chorizo Especial	1kg	$ 8.500
Integral Chorizo Casero	1kg	$ 12.000
Integral Salame	1kg	$ 13.000
Integral Hamburguesa	1kg	$ 13.000
Integral Salchicha	1kg	$ 8.000
Integral Matambre	1kg	$ 13.000
Integral Milanesa	1kg	$ 13.000
Tripa Vacuna	madeja	$ 9.000
Tripa Vacuna Media	madeja	$ 5.000
Tripa Chinesca	madeja	$ 40.000
Tripa Chinesca Chica	madeja	$ 13.000
Tripa Salame	unidad	$ 1.500
Tripa Sintetica c50	unidad	$ 11.000
Golfan	unidad	$ 13.000
Bolsa Queso Roja	unidad	$ 2.000
Papel Micro Perforado 50x50	unidad	$ 2.000
Papel Micro Perforado 30x30	unidad	$ 1.000
Stoquinet	unidad	
Recetarios	unidad	
Red bondiola	1m	$ 1.200
Rendiplus	1kg	$ 20.000
Sabor a Cerdo	1kg	$ 18.000
Sal Cura	1kg	$ 8.000
Sal Nitro	100gr	$ 20.000
Sangre Polvo	1kg	$ 10.000
Para Secos	1kg	$ 10.000
Sal Sucia	1kg	$ 900
Sal Gruesa x25kg	unidad	$ 9.000
Hilo x50m	unidad	$ 1.000
Hilo x100m	unidad	$ 2.000
Bolsa Hamburguesa	unidad	$ 1.000
Sal Fina	1kg	$ 900
Sal Entrefina	1kg	$ 900
Sal Parrillera	1kg	$ 900
Almidon de Maiz	1kg	$ 2.200
Almidon de Mandioca	1kg	$ 3.000
Gluten Puro	1kg	$ 20.000
Harina Glutinada	1kg	$ 2.000
Harina 000	1kg	$ 1.100
Harina 0000	1kg	$ 1.300
Harina de Centeno	1kg	$ 3.000
Harina de Arroz	1kg	$ 3.000
Harina de Arroz Integral	1kg	$ 3.500
Harina de Avena	1kg	$ 4.500
Harina de Garbanzo	1kg	$ 4.500
Harina de Soja	1kg	$ 2.500
Harina integral	1kg	$ 1.300
Harina de Maiz Amarillo	1kg	$ 2.800
Salvado de Trigo	1kg	$ 1.300
Fariña de Mandioca	1kg	$ 4.000
Pan Rallado	1kg	$ 2.500
Pan rallado con Semillas	1kg	$ 3.500
Rebozador	1kg	$ 1.500
Semolin	1kg	$ 2.000
Harina de Almendra con Piel	1kg	$ 25.000
Harina de Almendra Pelada	1kg	$ 42.000
Harina de Coco	1kg	$ 14.000
Salvado de Avena	1kg	$ 3.400
Avena Instantanea	1kg	$ 2.800
Avena Tradicional	1kg	$ 3.000
Germen de Trigo	1kg	$ 2.500
Harina Sarraceno	1kg	$ 8.000
Semola Candeal	1kg	$ 4.600
Harina de Malta	1kg	$ 10.000
Yerba Kalena	1kg	$ 8.500
Poroto Soja	1kg	$ 2.500
Poroto Colorado	1kg	$ 6.000
Poroto Regina	1kg	$ 6.000
